Name,Part family,Type,Design,Order,V&V,Notes,Design Intend,Image,Material,Product name,Supplier Order,Interface with,Link,Supplier,Datasheet,Amount,Cost,Total cost,Count (Interface with)
Dispenser drum coupling,Powder,Standard,Done,Recieved,Good,,6mm to 8mm coupling between stepper motor and dispenser drum,110300125850_001.jpg (https://v5.airtableusercontent.com/v3/u/33/33/1728496800000/PljX9o9ej9v_VbK6HFd_yg/yHh_8dShFlE2jfw08jENekWj3JoMdDkfj1MdR9ULZ-G96JLkZ0h7Jer9MEREvemRNwtWKxaR4JrAEwlRz_u7rSh2lKGeBKLvInj5gtX2hSXmvyTtf0DxYAHtQw_JrkKkeYgo6RsTRX-_XVtWzfLjIQ/DgZfU14BU23MuwxemXF-a5sfAHwEJ3j4d2AhWUW-O9k),Aluminium,SCOC20-6-8,,,https://uk.misumi-ec.com/vona2/detail/110300125850/?PNSearch=SCOC20-6-8&HissuCode=SCOC20-6-8&searchFlow=suggest2products&Keyword=SCOC20-6-8&isReSearch=1,Misumi,,2,DKK154.18,DKK308.36,0
"1"" Butterfly valve for filling",Powder,Standard,Done,Recieved,Good,,,,,"1"" Sanitary Butterfly Valve Clamp OD 50.5MM",,,https://www.ebay.com/itm/232303793716,ebay,,4,DKK230.00,DKK920.00,0
"1"" Ferrule Tri-Clamp",Powder,Standard,Done,Recieved,Good,,,,,"3/4""~1-1/2"" Tri Clamp Sanitary Stainless Steel 304 Fits 50.5MM",,,https://www.ebay.com/itm/232316520630,ebay,,8,DKK75.00,DKK600.00,0
Tri-Clamp silicone gasket (5pcs),Powder,Standard,Done,Recieved,Good,,,,,"1"" Sanitary Tri Clamp OD 50.5mm Silicone Sealing Gasket",,,https://www.ebay.com/itm/233707813757,ebay,,2,DKK30.00,DKK60.00,0
Valve weld adapter,Powder,Standard,Done,Recieved,,,To be welded to the overflow thus enabling closing off the overflow while printing,,,"Clamp kr sf k=50,5 25,0x1,2 316l ds/sms",,,,SparVVS,,2,DKK55.00,DKK110.00,0
Capacitive sensor for powder level,Powder,Standard,Done,Recieved,,,,,,184-5584,184-5584,,,RS components,,1,DKK500.00,DKK500.00,0
GLAMS,Electric,Custom,In progress,,Slight modifications,,,,,,,,,,,,,DKK0.00,0
Electrical cabinet,Electric,Standard,Done,Recieved,Good,Nice cabinet. Could be bigger. Next time to not cut and drill all holes manually / using hand tools,800x600x250 Schneider cabinet,,Steel,NSYS3D8625P,701-8449,,https://dk.rs-online.com/web/p/vaegbokse/7018449,RS components,0900766b815b03fe.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728496800000/6qBm3HOpQlXZkr5hBE6-7w/5yTnoYqOqa9XyNwAS83q7wIRSYW5yzr4jlChCCd8nVku1Qqw8TlbG_HQY6z0WDuLptK2pG8NJf6BPdwhOFRqVgDdH1VUuIuDmOWeRCXoWGSSziBZ4ZVv89tyrXfNu6Ec-weNMkDuC3khCrjrNz2Prw/oF5dXm3g05egGECbty8Z_rdFLrDq_shG7Fp-tehpu-0),1,DKK850.00,DKK850.00,0
24VDC PSU 20A,Electric,Standard,Done,Recieved,Good,,Main 24V power Supply,,,S8VK-C48024,786-6462,,https://dk.rs-online.com/web/p/din-skinnemonterbare-stromforsyninger/7866462,RS components,0900766b814297e1.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728496800000/h7Ah16RPQuWdcHvrRcTGOg/k0S2MbMrs6vK72kXSnw7moOSrEhTUdybyR9zM39YUoYoT5-vDo5lOPpbBYex2dxR1i0IGhu4e0R2pUa_yW8vvRBr9rVTN-xzaGvY8Wep_6MkHpqNTYa4-CUEtjzlWP-qtiMPeogsrMu_JoUR9At0EA/ZyYYo-46tHHBAOqIM2wIyvuJ_QR9M17JnFnJODnHniM),1,DKK1000.00,DKK1000.00,0
Electric cabinet fan,Electric,Standard,Done,Recieved,Good,Nice and silent,For top mount to blow out hot air. 80mm,,,787-4016,787-4016,,https://dk.rs-online.com/web/p/aksiale-blaesere/7874016,RS components,0900766b81587ae4.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728496800000/Wn3UoQEBndP-xkYRYr7fCQ/32TUd_mk91V4GRfGvNzmrjs6BLockqIgHrdN1Z-LXcH0tJQ_bipvqVkz8zJxaT8vR7dBA4E77rBtBP_qM83TkFg3cGVbU2NpiXvJEmj7cTbZepcmFze_EMMznfWm0WFd6sBkZBTmEX3RqzOn2id44w/tQdVoqNum0WXO7vM6ig7ZrUhO5bZm8Dis1vcZeXRu08),1,DKK65.00,DKK65.00,0
35mm DIN rail,Electric,Standard,Done,,Good,,0.5m,,Steel,467-406,467-406,,https://dk.rs-online.com/web/p/din-skinner/0467406,RS components,,4,DKK30.00,DKK120.00,0
Kabelforskruning,Electric,Standard,Done,Recieved,Slight modifications,Seems like a good size for covering many cable types. Should use metric thread,Kabelforskruning for sending cables into control cabinet and machine,,,53015210+53019210,206-6096,,https://dk.rs-online.com/web/p/kabelforskruninger/2066096,RS components,,20,DKK6.50,DKK130.00,0
DIN Relay,Electric,Standard,In progress,Recieved,Good,Fine. Should maybe be solidstate,Relay for switching e.g. solenoid valve,,,1SNA645034R2300 RB121P-5VDC,669-9974,,https://dk.rs-online.com/web/p/interfacerelae-moduler/6699974/,RS components,0900766b80d89334.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728496800000/-GWytKnrI1Sf6rE20bNXMg/1hFYuOZPwqxkGlEdjMLrZf3qVUcKa1X0AdS_eFff22EMJxZ4Lr8OO2uv_VNjcGTqNX9mK2_GLwB80ZImofJxt47QrWJAmwv0s2lxnH5SHo5PUGs1cF7VC6IM8SicI6fgEd6y2MrT4FGDdQsvvPjqPg/MwUwiD74d5Anm8Y4CdfTWm5E0lDyWaYEHRrZKmhAF5E),1,DKK215.00,DKK215.00,0
40x40 Cable Duct,Electric,Standard,Done,,Good,,40x40mm Cable duct for cabinet,,Polymer,879-3725,879-3725,,https://dk.rs-online.com/web/p/kabelkanaler/8793725,RS components,,1,DKK42.00,DKK42.00,0
Endestops Mech Plunger,Electric,Standard,Done,Recieved,Good,,,,,902-6900,902-6900,,https://dk.rs-online.com/web/p/endestopkontakter/2305086,RS components,A700000008213435.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728496800000/HxyY0BKNJFIVPwaHshUANw/fmPc_m3wqyVU9kgqa_Hg3P_85vmU-5dIkXNM28PbXHI9xb4OgHcpkGhw9XU_8svBu7ksJj6Shsxd6wLEOOW47vPVkBwZZVobB77WzpoOLTXyBW6II5mi-KUgttqwJpjS2eeZr9RyxrmVTQ5Z_O_G6Q/iFpRUOHZlxVv110LEnCx0UzZweuSmBxcJ09yuaX61ak),1,DKK119.00,DKK119.00,0
5V PSU,Electric,Standard,Done,Recieved,Good,,15W 5V supply for optocoupler supply etc,,,HDR-30-5,145-7864,,https://dk.rs-online.com/web/p/din-skinnemonterbare-stromforsyninger/1457864/,RS components,,1,DKK105.00,DKK105.00,0
12V PSU,Electric,Standard,Done,,Good,,12VDC PSU for powering e.g. Arduino etc,,,,,,https://dk.rs-online.com/web/p/din-skinnemonterbare-stromforsyninger/1457860,RS components,,,,DKK0.00,0
Heater PID,Electric,Standard,In progress,Recieved,Slight modifications,Does not have a SSR output. Next version should have. Now require a 5V line into the relay output,Single output PID relay,,,PXU10020,905-5725,,dk.rs-online.com/web/p/temperaturregulatorer/9055725,RS components,,1,DKK800.00,DKK800.00,0
DIN solidstate relay,Electric,Standard,Done,Recieved,Good,,Heating element relay,,,121-3888,121-3888,,https://dk.rs-online.com/web/p/solid-state-relaeer/1213888,RS components,,3,DKK281.00,DKK843.00,0
Termoelement type K,Electric,Standard,Done,Recieved,Good,,Type K heating element,,,334-2622,334-2622,,dk.rs-online.com/web/p/termoelementer/3342622/,RS components,,1,DKK159.00,DKK159.00,0
Klemrækker Grå,Electric,Standard,Done,Recieved,Good,,,,,870-901,388-7434,,https://dk.rs-online.com/web/p/din-skinneklemmeraekker/3887434,RS components,,4,DKK38.80,DKK155.20,0
Klemrækker Blå,Electric,Standard,Done,Recieved,Good,,,,,870-904,388-7440,,https://dk.rs-online.com/web/p/din-skinneklemmeraekker/3887440,RS components,,4,DKK40.00,DKK160.00,0
Klemrækker Gul/Grøn,Electric,Standard,Done,Recieved,Good,,,,,870-907,388-7462,,https://dk.rs-online.com/web/p/din-skinneklemmeraekker/3887462,RS components,,2,DKK107.00,DKK214.00,0
Laske 3-polet,Electric,Standard,Done,Recieved,Good,More poles would be handy,,,,870-403,388-7507,,https://dk.rs-online.com/web/p/din-skinne-klemmer-tilbehor/3887507,RS components,,2,DKK23.60,DKK47.20,0
Laske 2-polet,Electric,Standard,Done,Recieved,Good,More poles would be handy,,,,870-402,388-7490,,https://dk.rs-online.com/web/p/din-skinne-klemmer-tilbehor/3887490,RS components,,2,DKK17.40,DKK34.80,0
Klemrækker endestop,Electric,Standard,Done,Recieved,Good,,,,,878-7556,878-7556,,https://dk.rs-online.com/web/p/din-skinne-klemmer-tilbehor/8787556,RS components,,2,DKK19.90,DKK39.80,0
Klemrækker markeringer,Electric,Standard,Done,Recieved,,,,,,878-7590,878-7590,,https://dk.rs-online.com/web/p/klemraekker-tilbehor/8787590,RS components,,2,DKK13.60,DKK27.20,0
400V power cable,Electric,Standard,Done,Recieved,Good,,10m CEE 400V power cable,3696_568204.jpg (https://v5.airtableusercontent.com/v3/u/33/33/1728496800000/-BURHG8bpTAcj3fMTcUOWw/arT2rJLrVcvZYdZh8_yM4QmM1cJD1qYXUn1R6m11g5ppzUDDNYVMXyg47KWDsUvmexcQq3WXJzmWRlgoYP8kGNUzV2Da5fAv8gpCXlVop6HP_xY1tsLeS63nGG8QrW6qnIsT9eC1HF0Ip0CdUvcUIA/4B8nAmmWwwM3Y4U48hE4yYJNJlXD6ILP5tYJSWq9oIc),,,3696 ,,https://www.harald-nyborg.dk/produkt/cee-forlaengerkabel-5x1-5-10m,Harald Nyborg,,1,DKK208.50,DKK208.50,0
230V power plug,Electric,Standard,Done,Recieved,Good,,230VAC power plug ,4428_433323.jpg (https://v5.airtableusercontent.com/v3/u/33/33/1728496800000/oVfmrM-Ixvv31H4wnjtX4Q/GiJl16eRqC5gEOCVXF7fDKcDp0PZ_WVB2bWUIccFJbUQK2I3-pqOCkgdOxQjv99bX32IZ519FAybwKI-_agiEwSd5ItIvJb-8c-cFK_42jCSydnStujHyam48xLz8Zey1runJMTJbKJSU4ZvOwymcw/6apMUOh_gwssHeowKiM_SAUPT4llNRwEFbvmFjn7gN0),,,4428,,https://www.harald-nyborg.dk/produkt/stikprop-rund-med-jord-graa,Harald Nyborg,,4,DKK12.75,DKK51.00,0
Self-cutting panel screw,Electric,Standard,Done,Recieved,Good,,Box of self-cutting screws for screwing in DIN-rais etc.,,,546-5806,546-5806,,https://dk.rs-online.com/web/p/selvborende-skruer/54658,RS components,,1,DKK42.00,DKK42.00,0
15mm DIN rail,Electric,Standard,Done,,Good,,15mm compact DIN rail for bottom of cabinet etc.,,,1401682 ,803-9615,,https://dk.rs-online.com/web/p/din-skinner/8039615,RS components,,1,DKK47.00,DKK47.00,0
Compact Screw Terminal,Electric,Standard,Done,Recieved,Good,,Screw terminal for 15mm DIN rail,,,,815-8839,,https://dk.rs-online.com/web/p/din-skinneklemmeraekker/8158839,RS components,,50,DKK1.10,DKK55.00,0
5-pin Connector Male,Electric,Standard,Done,Recieved,Good,,Cable mounted male connector for stepper motor,,,144-4189,144-4189,,https://dk.rs-online.com/web/p/industrielle-cirkulaere-stik/1444189,RS components,,6,DKK84.00,DKK504.00,0
VFD,Electric,Standard,Done,Recieved,Slight modifications,Shitty menu system. Maybe go for nicer brand,,,,Mitsubishi XYZ,,,,RS components,,1,DKK1400.00,DKK1400.00,0
Kabelforskruning Oring,Electric,Standard,Done,Recieved,Good,,Oring to seals kabelforskruning,,,53102011 ,664-4603,,https://dk.rs-online.com/web/p/kabelforskrunings-o-ringe/6644603,RS components,,20,DKK0.50,DKK10.00,0
5-pin Connector Female,Electric,Standard,Done,Recieved,Good,,Chasses mounted female 5-pin connector for stepper motor,,,144-4168,144-4168,,https://dk.rs-online.com/web/p/industrielle-cirkulaere-stik/1444168,RS components,,6,DKK90.00,DKK540.00,0
Pluto D20 Safety PLC,Electric,Standard,,Basket,Good,,,,,,2TLA020070R6400,,,RS components,,1,DKK9000.00,DKK9000.00,0
Inca 1 Tina Estop,Electric,Standard,,Basket,Good,,,,,,2TLA030054R0100 INCA 1,,https://dk.rs-online.com/web/p/nodstop-trykknapper/2320000?gb=s,RS components,,1,DKK659.00,DKK659.00,0
Adam DYN-Info M12-5,Electric,Standard,,Basket,Good,,,,,,2TLA020051R5100,,,RS components,,2,DKK345.00,DKK690.00,0
Eva General Code,Electric,Standard,,Basket,Good,,,,,,2TLA020046R0800,,,RS components,,2,DKK108.00,DKK216.00,0
"M12-C61, 6m cable",Electric,Standard,,Basket,Good,,,,,,2TLA020056R0000,,,RS components,,2,DKK215.00,DKK430.00,0
Safety contactor,Electric,Standard,,Basket,Good,,,,,AFS16-30-22-11,1SBL177082R1122,,,RS components,,1,DKK508.00,DKK508.00,0
Smile 41 EWWWP Estop Box,Electric,Standard,,Basket,Good,,,,,,2TLA030057R0100,,,RS components,,1,DKK1900.00,DKK1900.00,0
"M12-C63, 6m cable",Electric,Standard,,Basket,Good,,,,,,2TLA020056R3000,,,RS components,,1,DKK325.00,DKK325.00,0
2-pin connector female chassis,Electric,Standard,Done,Recieved,Slight modifications,Bottom plate is too thick for pass-through. May need to use silicone and not oring,"Chassis mounted 2-pin connector for heating elements, thermocouple and limit switch, z-axis",,,144-4165,144-4165,,https://dk.rs-online.com/web/p/industrielle-cirkulaere-stik/1444165,RS components,,4,DKK73.00,DKK292.00,0
2-pin connector male cable mount,Electric,Standard,Done,Recieved,Good,,,,,144-4186,144-4186,,https://dk.rs-online.com/web/p/industrielle-cirkulaere-stik/1444186,RS components,,4,DKK42.00,DKK168.00,0
"19"" USB hub",Electric,Standard,Done,Recieved,Good,,,,,,,,,Amazon,,1,,DKK0.00,0
"5V 4A power to USB hub 5.5,x2.1mm jack",Electric,Standard,Done,,Good,,,,,GSM36E05-P1J,791-0935,,https://dk.rs-online.com/web/p/ac-dc-adaptere/7910935,RS components,,1,DKK148.50,DKK148.50,0
3P+N+E Male,Electric,Standard,Done,Recieved,,,Power outlet for blower,,,214-4090,214-4090,,https://dk.rs-online.com/web/p/industrielle-stromstik/2144090,RS components,,1,DKK70.00,DKK70.00,0
3P+N+E Female,Electric,Standard,Done,Ordered,,,Power input for machine,,,214-4188,214-4188,,https://dk.rs-online.com/web/p/industrielle-stromstik/2144188,RS components,,1,DKK70.00,DKK70.00,0
E-stop,Electric,Standard,Done,Recieved,,,,,,225-5896,225-5896,,,RS components,,2,,DKK0.00,0
Switch for VFD,Electric,Standard,Done,Recieved,,,,,,265-7690,265-7690,,,RS components,,1,,DKK0.00,0
Y axis stepper bracket,SensorGantry,Custom,,,,,,,,,,,,DTU,,1,,DKK0.00,0
Y axis idler plate,SensorGantry,Custom,,,,,,,,,,,,DTU,,1,,DKK0.00,0
X axis top bracket,SensorGantry,Custom,,,,,,,,,,,,DTU,,1,,DKK0.00,0
X axis bottom bracket,SensorGantry,Custom,,,,,,,,,,,,DTU,,1,,DKK0.00,0
X axis idler bracket,SensorGantry,Custom,,,,,,,,,,,,DTU,,1,,DKK0.00,0
Z axis linear rod,SensorGantry,Custom,,,,,,,,,,,,DTU,,1,DKK37.00,DKK37.00,0
Z axis stepper bracket,SensorGantry,Custom,,,,,,,,,,,,DTU,,1,,DKK0.00,0
Sensor bracket,SensorGantry,Custom,,,,,,,,,,,,DTU,,1,,DKK0.00,0
2040 Alu Support,SensorGantry,Standard,,,,,,,,850-8482,850-8482,,https://dk.rs-online.com/web/p/products/8508482/,RS components,,1,DKK111.00,DKK111.00,0
Y axis linear guide,SensorGantry,Standard,,,,,,,,SSEBMZ20-520,SSEBMZ20-520,,https://uk.misumi-ec.com/vona2/detail/110300043860/?HissuCode=SSEBMZ20-520&PNSearch=SSEBMZ20-520&KWSearch=SSEBMZ20-520&searchFlow=results2type,Misumi,,1,DKK860.00,DKK860.00,0
Y axis timing pulley,SensorGantry,Standard,,,,,,,,,,,,3Dnielsen,,1,DKK163.00,DKK163.00,0
Y axis timing idler,SensorGantry,Standard,,,,,,,,,,,,3Dnielsen,,1,DKK238.00,DKK238.00,0
GT2 6mm belt,SensorGantry,Standard,,,,,,,,,,,,3Dnielsen,,1,DKK80.00,DKK80.00,0
Y axis nema 14,SensorGantry,Standard,,,,,,,,,,,,OMC,,1,,DKK0.00,0
2020 X arm,SensorGantry,Standard,,,,,,,,187-3273,187-3273,,https://dk.rs-online.com/web/p/slanger-og-profilstivere/1873273,RS components,,1,DKK64.00,DKK64.00,0
X axis nema 11,SensorGantry,Standard,,,,,,,,,,,,OMC,,1,,DKK0.00,0
x axis timing pulley,SensorGantry,Standard,,,,,,,,,,,,RepRapWorld,,1,DKK148.00,DKK148.00,0
X axis timing idler,SensorGantry,Standard,,,,,,,,,,,,3Dnielsen,,1,DKK200.00,DKK200.00,0
X axis linear guide,SensorGantry,Standard,,,,,,,,SSEBLZ10-274,SSEBLZ10-274,,https://uk.misumi-ec.com/vona2/detail/110302586530/?PNSearch=SSEBLZ10-274&HissuCode=SSEBLZ10-274&searchFlow=suggest2products&Keyword=SSEBLZ10-274,Misumi,,1,DKK386.00,DKK386.00,0
Z axis linear stepper,SensorGantry,Standard,,,,,,,,11E13S0754ED-100RS,11E13S0754ED-100RS,,https://www.omc-stepperonline.com/nema-11-external-34mm-stack-0-75a-lead-0-635mm-0-025-length-100mm-11e13s0754ed-100rs,OMC,11E13S0754ED-100RS.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728496800000/PFEj0kLln0fAUljr8grD1w/oR3EFH38Slt0XvrE0R7-rH6RilZOO3fS2aVBw0hesg_-bRVNMVBoPcGqErXcKrLxme5CVFUQRhXho8kX4tjsWvm6km_-CMOPP1wy1sxNYcbH989E3HbMeY1MAC62K76qbS_ZK51M8WPNN06eLB7L3RAH6EuvwajxTQzydpft-c8/7vFV_Q7x6i9Pzi7gGa-QwOmQlXxgWLqMjP_QJ0xYFVg),1,,DKK0.00,0
Z axis guide clamp,SensorGantry,Standard,,,,,,,,STHCB5,STHCB5,,,Misumi,,1,DKK119.00,DKK119.00,0
Z axis linear guide,SensorGantry,Standard,,,,,,,,LHFC5,LHFC5,,https://uk.misumi-ec.com/vona2/detail/110300027060/?CategorySpec=00000424988%3a%3ab%0900000144089%3a%3aa%0900000004087%3a%3amig00000001997623%2cmig00000002014192,Misumi,,1,DKK141.00,DKK141.00,0
Automatic fasteners,Support,Consumable,Done,Recieved,,,,,,767-5686,767-5686,,https://dk.rs-online.com/web/p/dele-til-samling-af-system/7675686,RS components,,8,,DKK0.00,0
Standard fasteners,Support,Consumable,Done,Recieved,,,,,,767-5689,767-5689,,https://dk.rs-online.com/web/p/dele-til-samling-af-system/7675689,RS components,,32,,DKK0.00,0
"19"" Rack plates",Support,Custom,Done,Recieved,Slight modifications,A tiny bit too wide. Corners need rounding and the bend flaps could be shorter so as to not go over 4040 profile sides,"2 sheet metal plates for mounting 19"" rack equipment",,"Steel,Stainless steel",,,,,DTU,,2,,DKK0.00,0
Cover plates w/door,Support,Custom,In progress,,Good,,,,,,,,,,,2,,DKK0.00,0
Cover plates,Support,Custom,In progress,,Good,,,,,,,,,,,2,,DKK0.00,0
Desktop,Support,Custom,Done,Recieved,,Desktop in front of PC screen,,,,Alusandwich Neobond,,,,PlastDK,,1,DKK400.00,DKK400.00,0
"19"" rack shelves",Support,Standard,Done,Recieved,Good,"adjustable 19"" rack supports shelves from Conrad","Expandable shelves for supporting 19"" rack equipment",,,Digitus DN-19 GS-SRV,,,https://www.conradelektronik.dk/da/p/digitus-dn-19-gs-srv-19-tommer-netvaerksskab-skinner-1-u-staal-1456108.html,lightpartner,,2,DKK319.00,DKK638.00,0
Cover hinges,Support,Standard,In progress,,Good,,,,,,,,,Misumi,,3,,DKK0.00,0
Cover latches,Support,Standard,In progress,,Good,,,,,,,,,Misumi,,3,,DKK0.00,0
Cover handles,Support,Standard,In progress,,Good,,,,,,,,,Misumi,,2,,DKK0.00,0
Castors,Support,Standard,Done,Recieved,Good,,,,,,,,,RS components,,6,,DKK0.00,0
System PC,Support,Standard,Done,Recieved,Good,,,,,,,,,DTU,,1,DKK5000.00,DKK5000.00,0
4040 Extrusion,Support,Standard,Done,Recieved,,"4x 1000mm,
2x 960mm,
2x 520mm,
2x 695mm,
4x 700mm",,,,,,,,RS components,,6,,DKK0.00,0
8040 Extrusion,Support,Standard,Done,Recieved,,"2x 695mm,
2x 520mm,",,,,,,,,RS components,,,,DKK0.00,0
Multiblock,Support,Standard,Done,Recieved,,,,,,,,,,RS components,,20,,DKK0.00,0
Beslag til topplade,Support,Standard,Done,Recieved,,,,,,,,,,RS components,,8,,DKK0.00,0
Leveling Feet,Support,Standard,Done,Recieved,,,,,,,,,,RS components,,,,DKK0.00,0
Silicone sheet,Raw Materials,Consumable,Done,Recieved,,1mm silicone sheet for gaskets,,,,,,,https://silcofa.shop/silikone/plader,,,2,DKK780.00,DKK1560.00,0
Loctite 222,Raw Materials,Consumable,Done,Todo,,,,,,,,,,,,,,DKK0.00,0
Montage pasta,Raw Materials,Consumable,Done,Todo,,,,,,,,,,,,,,DKK0.00,0